XCOM: Silicon
Constituents (Atomic Number : Fraction by Weight)

    Z=14 : 1.000000

       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       1.150E-02 5.199E-01 1.154E-01 2.190E+01 0.000E+00 0.000E+00 2.254E+01 2.202E+01
       1.233E-02 4.731E-01 1.191E-01 1.779E+01 0.000E+00 0.000E+00 1.838E+01 1.790E+01
       1.322E-02 4.294E-01 1.227E-01 1.442E+01 0.000E+00 0.000E+00 1.498E+01 1.455E+01
       1.418E-02 3.889E-01 1.262E-01 1.169E+01 0.000E+00 0.000E+00 1.220E+01 1.181E+01
       1.500E-02 3.585E-01 1.289E-01 9.848E+00 0.000E+00 0.000E+00 1.034E+01 9.977E+00
       1.520E-02 3.517E-01 1.295E-01 9.463E+00 0.000E+00 0.000E+00 9.944E+00 9.592E+00
       1.630E-02 3.176E-01 1.325E-01 7.653E+00 0.000E+00 0.000E+00 8.103E+00 7.786E+00
       1.747E-02 2.865E-01 1.353E-01 6.186E+00 0.000E+00 0.000E+00 6.608E+00 6.322E+00
       1.874E-02 2.582E-01 1.379E-01 4.996E+00 0.000E+00 0.000E+00 5.392E+00 5.134E+00
       2.000E-02 2.341E-01 1.402E-01 4.089E+00 0.000E+00 0.000E+00 4.463E+00 4.229E+00
       2.009E-02 2.325E-01 1.403E-01 4.032E+00 0.000E+00 0.000E+00 4.405E+00 4.172E+00
       2.154E-02 2.093E-01 1.425E-01 3.251E+00 0.000E+00 0.000E+00 3.603E+00 3.394E+00
       2.310E-02 1.882E-01 1.445E-01 2.620E+00 0.000E+00 0.000E+00 2.953E+00 2.765E+00
       2.477E-02 1.691E-01 1.463E-01 2.110E+00 0.000E+00 0.000E+00 2.425E+00 2.256E+00
       2.656E-02 1.518E-01 1.478E-01 1.698E+00 0.000E+00 0.000E+00 1.998E+00 1.846E+00
       2.848E-02 1.362E-01 1.492E-01 1.366E+00 0.000E+00 0.000E+00 1.651E+00 1.515E+00
       3.000E-02 1.255E-01 1.501E-01 1.161E+00 0.000E+00 0.000E+00 1.436E+00 1.311E+00
       3.054E-02 1.220E-01 1.504E-01 1.098E+00 0.000E+00 0.000E+00 1.370E+00 1.248E+00
       3.274E-02 1.092E-01 1.515E-01 8.817E-01 0.000E+00 0.000E+00 1.142E+00 1.033E+00
       3.511E-02 9.763E-02 1.523E-01 7.077E-01 0.000E+00 0.000E+00 9.576E-01 8.600E-01
       3.765E-02 8.715E-02 1.530E-01 5.677E-01 0.000E+00 0.000E+00 8.079E-01 7.207E-01
       4.000E-02 7.886E-02 1.534E-01 4.687E-01 0.000E+00 0.000E+00 7.010E-01 6.221E-01
       4.037E-02 7.767E-02 1.535E-01 4.553E-01 0.000E+00 0.000E+00 6.864E-01 6.087E-01
       4.329E-02 6.910E-02 1.538E-01 3.649E-01 0.000E+00 0.000E+00 5.878E-01 5.187E-01
       4.642E-02 6.137E-02 1.539E-01 2.924E-01 0.000E+00 0.000E+00 5.076E-01 4.462E-01
       4.977E-02 5.442E-02 1.538E-01 2.341E-01 0.000E+00 0.000E+00 4.424E-01 3.879E-01
       5.000E-02 5.399E-02 1.538E-01 2.307E-01 0.000E+00 0.000E+00 4.385E-01 3.845E-01
       5.337E-02 4.819E-02 1.535E-01 1.874E-01 0.000E+00 0.000E+00 3.891E-01 3.409E-01
       5.722E-02 4.262E-02 1.530E-01 1.499E-01 0.000E+00 0.000E+00 3.456E-01 3.030E-01
       6.000E-02 3.917E-02 1.526E-01 1.288E-01 0.000E+00 0.000E+00 3.206E-01 2.815E-01
       6.136E-02 3.764E-02 1.524E-01 1.199E-01 0.000E+00 0.000E+00 3.100E-01 2.723E-01
       6.579E-02 3.320E-02 1.516E-01 9.591E-02 0.000E+00 0.000E+00 2.807E-01 2.475E-01
       7.055E-02 2.926E-02 1.506E-01 7.668E-02 0.000E+00 0.000E+00 2.565E-01 2.272E-01
       7.565E-02 2.576E-02 1.494E-01 6.129E-02 0.000E+00 0.000E+00 2.364E-01 2.107E-01
       8.000E-02 2.324E-02 1.483E-01 5.120E-02 0.000E+00 0.000E+00 2.228E-01 1.995E-01
       8.111E-02 2.266E-02 1.481E-01 4.898E-02 0.000E+00 0.000E+00 2.197E-01 1.970E-01
       8.697E-02 1.992E-02 1.466E-01 3.914E-02 0.000E+00 0.000E+00 2.056E-01 1.857E-01
       9.326E-02 1.750E-02 1.449E-01 3.127E-02 0.000E+00 0.000E+00 1.937E-01 1.762E-01
       1.000E-01 1.537E-02 1.432E-01 2.498E-02 0.000E+00 0.000E+00 1.835E-01 1.682E-01
       1.072E-01 1.348E-02 1.413E-01 1.996E-02 0.000E+00 0.000E+00 1.748E-01 1.613E-01
       1.150E-01 1.182E-02 1.393E-01 1.595E-02 0.000E+00 0.000E+00 1.671E-01 1.553E-01
       1.233E-01 1.036E-02 1.372E-01 1.275E-02 0.000E+00 0.000E+00 1.604E-01 1.500E-01
       1.322E-01 9.074E-03 1.351E-01 1.019E-02 0.000E+00 0.000E+00 1.543E-01 1.453E-01
       1.417E-01 7.941E-03 1.328E-01 8.154E-03 0.000E+00 0.000E+00 1.489E-01 1.409E-01
       1.500E-01 7.125E-03 1.309E-01 6.806E-03 0.000E+00 0.000E+00 1.448E-01 1.377E-01
       1.520E-01 6.947E-03 1.305E-01 6.526E-03 0.000E+00 0.000E+00 1.439E-01 1.370E-01
       1.630E-01 6.074E-03 1.281E-01 5.225E-03 0.000E+00 0.000E+00 1.394E-01 1.333E-01
       1.747E-01 5.308E-03 1.256E-01 4.187E-03 0.000E+00 0.000E+00 1.351E-01 1.298E-01
       1.874E-01 4.637E-03 1.231E-01 3.358E-03 0.000E+00 0.000E+00 1.311E-01 1.265E-01
       2.000E-01 4.085E-03 1.207E-01 2.736E-03 0.000E+00 0.000E+00 1.275E-01 1.235E-01
       2.009E-01 4.048E-03 1.206E-01 2.697E-03 0.000E+00 0.000E+00 1.273E-01 1.232E-01
       2.154E-01 3.533E-03 1.180E-01 2.168E-03 0.000E+00 0.000E+00 1.237E-01 1.201E-01
       2.310E-01 3.082E-03 1.154E-01 1.746E-03 0.000E+00 0.000E+00 1.202E-01 1.171E-01
       2.477E-01 2.688E-03 1.128E-01 1.408E-03 0.000E+00 0.000E+00 1.169E-01 1.142E-01
       2.656E-01 2.344E-03 1.101E-01 1.138E-03 0.000E+00 0.000E+00 1.136E-01 1.113E-01
